code,code_name,ipoDate,outDate,type,status
sz.002721,金一文化,2014-01-27,,1,1
sz.002722,物产金轮,2014-01-28,,1,1
sz.002723,小崧股份,2014-01-29,,1,1
sz.002724,海洋王,2014-11-04,,1,1
sz.002725,跃岭股份,2014-01-29,,1,1
sz.002726,龙大美食,2014-06-26,,1,1
sz.002727,一心堂,2014-07-02,,1,1
sz.002728,特一药业,2014-07-31,,1,1
sz.002729,好利科技,2014-09-12,,1,1
sz.002730,电光科技,2014-10-09,,1,1
sz.002731,萃华珠宝,2014-11-04,,1,1
sz.002732,燕塘乳业,2014-12-05,,1,1
sz.002733,雄韬股份,2014-12-03,,1,1
sz.002734,利民股份,2015-01-27,,1,1
sz.002735,王子新材,2014-12-03,,1,1
sz.002736,国信证券,2014-12-29,,1,1
sz.002737,葵花药业,2014-12-30,,1,1
sz.002738,中矿资源,2014-12-30,,1,1
sz.002739,万达电影,2015-01-22,,1,1
sz.002740,ST爱迪尔,2015-01-22,,1,1
sz.002741,光华科技,2015-02-16,,1,1
sz.002742,ST三圣,2015-02-17,,1,1
sz.002743,富煌钢构,2015-02-17,,1,1
sz.002745,木林森,2015-02-17,,1,1
sz.002746,仙坛股份,2015-02-16,,1,1
sz.002747,埃斯顿,2015-03-20,,1,1
sz.002748,世龙实业,2015-03-19,,1,1
sz.002749,国光股份,2015-03-20,,1,1
sz.002750,龙津药业,2015-03-24,,1,1
sz.002751,*ST易尚,2015-04-24,,1,1
sz.002752,昇兴股份,2015-04-22,,1,1
sz.002753,永东股份,2015-05-19,,1,1
sz.002755,奥赛康,2015-05-15,,1,1
sz.002756,永兴材料,2015-05-15,,1,1
sz.002757,南兴股份,2015-05-27,,1,1
sz.002758,浙农股份,2015-05-27,,1,1
sz.002759,天际股份,2015-05-28,,1,1
sz.002760,凤形股份,2015-06-11,,1,1
sz.002761,浙江建投,2015-06-10,,1,1
sz.002762,金发拉比,2015-06-10,,1,1
sz.002763,汇洁股份,2015-06-10,,1,1
sz.002765,蓝黛科技,2015-06-12,,1,1
sz.002766,索菱股份,2015-06-11,,1,1
sz.002767,先锋电子,2015-06-12,,1,1
sz.002768,国恩股份,2015-06-30,,1,1
sz.002769,普路通,2015-06-29,,1,1
sz.002770,科迪退,2015-06-30,2022-06-23,1,0
sz.002771,真视通,2015-06-29,,1,1
sz.002772,众兴菌业,2015-06-26,,1,1
sz.002773,康弘药业,2015-06-26,,1,1
sz.002774,快意电梯,2017-03-24,,1,1
sz.002775,文科园林,2015-06-29,,1,1
sz.002776,ST柏龙,2015-06-26,,1,1
sz.002777,久远银海,2015-12-31,,1,1
sz.002778,中晟高科,2016-01-06,,1,1
sz.002779,中坚科技,2015-12-09,,1,1
sz.002780,三夫户外,2015-12-09,,1,1
sz.002781,*ST奇信,2015-12-22,,1,1
sz.002782,可立克,2015-12-22,,1,1
sz.002783,凯龙股份,2015-12-09,,1,1
sz.002785,万里石,2015-12-23,,1,1
sz.002786,银宝山新,2015-12-23,,1,1
sz.002787,华源控股,2015-12-31,,1,1
sz.002788,鹭燕医药,2016-02-18,,1,1
sz.002789,建艺集团,2016-03-11,,1,1
sz.002790,瑞尔特,2016-03-08,,1,1
sz.002791,坚朗五金,2016-03-29,,1,1
sz.002792,通宇通讯,2016-03-28,,1,1
sz.002793,罗欣药业,2016-04-15,,1,1
sz.002795,永和智控,2016-04-28,,1,1
sz.002796,世嘉科技,2016-05-10,,1,1
sz.002797,第一创业,2016-05-11,,1,1
sz.002798,帝欧家居,2016-05-25,,1,1
sz.002799,环球印务,2016-06-08,,1,1
sz.002800,天顺股份,2016-05-30,,1,1
sz.002801,微光股份,2016-06-22,,1,1
sz.002802,洪汇新材,2016-06-29,,1,1
sz.002803,吉宏股份,2016-07-12,,1,1
sz.002805,丰元股份,2016-07-07,,1,1
sz.002806,华锋股份,2016-07-26,,1,1
sz.002807,江阴银行,2016-09-02,,1,1
sz.002808,恒久科技,2016-08-12,,1,1
sz.002809,红墙股份,2016-08-23,,1,1
sz.002810,山东赫达,2016-08-26,,1,1
sz.002811,郑中设计,2016-09-08,,1,1
sz.002812,恩捷股份,2016-09-14,,1,1
sz.002813,路畅科技,2016-10-12,,1,1
sz.002815,崇达技术,2016-10-12,,1,1
sz.002816,和科达,2016-10-25,,1,1
sz.002817,黄山胶囊,2016-10-25,,1,1
sz.002818,富森美,2016-11-09,,1,1
sz.002819,东方中科,2016-11-11,,1,1
sz.002820,桂发祥,2016-11-18,,1,1
sz.002821,凯莱英,2016-11-18,,1,1
sz.002822,中装建设,2016-11-29,,1,1
sz.002823,凯中精密,2016-11-24,,1,1
sz.002824,和胜股份,2017-01-12,,1,1
sz.002825,纳尔股份,2016-11-29,,1,1
sz.002826,易明医药,2016-12-09,,1,1
sz.002827,高争民爆,2016-12-09,,1,1
sz.002828,贝肯能源,2016-12-08,,1,1
sz.002829,星网宇达,2016-12-13,,1,1
sz.002830,名雕股份,2016-12-13,,1,1
sz.002831,裕同科技,2016-12-16,,1,1
sz.002832,比音勒芬,2016-12-23,,1,1
sz.002833,弘亚数控,2016-12-28,,1,1
sz.002835,同为股份,2016-12-28,,1,1
sz.002836,新宏泽,2016-12-29,,1,1
sz.002837,英维克,2016-12-29,,1,1
sz.002838,道恩股份,2017-01-06,,1,1
sz.002839,张家港行,2017-01-24,,1,1
sz.002840,华统股份,2017-01-10,,1,1
sz.002841,视源股份,2017-01-19,,1,1
sz.002842,翔鹭钨业,2017-01-19,,1,1
sz.002843,泰嘉股份,2017-01-20,,1,1
sz.002845,同兴达,2017-01-25,,1,1
sz.002846,英联股份,2017-02-07,,1,1
sz.002847,盐津铺子,2017-02-08,,1,1
sz.002848,高斯贝尔,2017-02-13,,1,1
sz.002849,威星智能,2017-02-17,,1,1
sz.002850,科达利,2017-03-02,,1,1
sz.002851,麦格米特,2017-03-06,,1,1
sz.002852,道道全,2017-03-10,,1,1
sz.002853,皮阿诺,2017-03-10,,1,1
sz.002855,捷荣技术,2017-03-21,,1,1
sz.002856,美芝股份,2017-03-20,,1,1
sz.002857,三晖电气,2017-03-23,,1,1
sz.002858,力盛体育,2017-03-24,,1,1
sz.002859,洁美科技,2017-04-07,,1,1
sz.002860,星帅尔,2017-04-12,,1,1
sz.002861,瀛通通讯,2017-04-13,,1,1
sz.002862,实丰文化,2017-04-11,,1,1
sz.002863,今飞凯达,2017-04-18,,1,1
sz.002864,盘龙药业,2017-11-16,,1,1
sz.002865,钧达股份,2017-04-25,,1,1
sz.002866,传艺科技,2017-04-26,,1,1
sz.002867,周大生,2017-04-27,,1,1
sz.002868,绿康生化,2017-05-03,,1,1
sz.002869,金溢科技,2017-05-15,,1,1
sz.002870,香山股份,2017-05-15,,1,1
sz.002871,伟隆股份,2017-05-11,,1,1
sz.002872,ST天圣,2017-05-19,,1,1
sz.002873,新天药业,2017-05-19,,1,1
sz.002875,安奈儿,2017-06-01,,1,1
sz.002876,三利谱,2017-05-25,,1,1
sz.002877,智能自控,2017-06-05,,1,1
sz.002878,元隆雅图,2017-06-06,,1,1
sz.002879,长缆科技,2017-07-07,,1,1
sz.002880,卫光生物,2017-06-16,,1,1
sz.002881,美格智能,2017-06-22,,1,1
sz.002882,金龙羽,2017-07-17,,1,1
sz.002883,中设股份,2017-06-20,,1,1
sz.002884,凌霄泵业,2017-07-11,,1,1
sz.002885,京泉华,2017-06-27,,1,1
sz.002886,沃特股份,2017-06-27,,1,1
sz.002887,绿茵生态,2017-08-01,,1,1
sz.002888,惠威科技,2017-07-21,,1,1
sz.002889,东方嘉盛,2017-07-31,,1,1
sz.002890,弘宇股份,2017-08-02,,1,1
sz.002891,中宠股份,2017-08-21,,1,1
sz.002892,科力尔,2017-08-17,,1,1
sz.002893,华通热力,2017-09-15,,1,1
sz.002895,川恒股份,2017-08-25,,1,1
